municipio;codEstacao;uf;nomeEstacao;latitude;longitude;data;hora;precipitação
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;00:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;01:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;02:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;03:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;04:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;05:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;06:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;07:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;08:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;09:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;10:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;11:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;12:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;13:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;13:10:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;13:20:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;13:30:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;13:40:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;13:50:00.0;0,2
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;14:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;15:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;16:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;17:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;17:10:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;17:20:00.0;0,6
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;17:30:00.0;0,4
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;17:40:00.0;0,2
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;17:50:00.0;0,6
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;18:00:00.0;0,2
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;18:10:00.0;0,4
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;18:20:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;19:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;20:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;21:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;22:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;01/08/2017;23:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;02/08/2017;00:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;02/08/2017;01:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;02/08/2017;02:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;02/08/2017;03:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;02/08/2017;04:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;02/08/2017;05:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;02/08/2017;06:00:00.0;0
ALAGOA GRANDE;250030401A;PB;Centro;-7,039;-35,631;02/08/2017;07:00:00.0;0
