codEstacao;municipio;uf;nomeEstacao;latitude;longitude;data;hora;precipitaação
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;00:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;01:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;02:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;03:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;04:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;05:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;06:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;07:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;08:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;09:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;10:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;11:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;12:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;13:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;14:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;14:10:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;14:20:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;14:30:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;14:40:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;14:50:00.0;0,2
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;15:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;16:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;17:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;18:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;19:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;20:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;21:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;22:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;01/07/2015;23:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;00:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;01:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;02:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;03:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;04:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;05:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;06:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;07:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;08:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;09:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;10:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;11:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;11:10:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;11:20:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;11:30:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;11:40:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;11:50:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;12:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;12:10:00.0;0,2
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;12:20:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;12:30:00.0;0,2
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;12:40:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;12:50:00.0;0,2
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;13:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;13:10:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;13:20:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;13:30:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;13:40:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;13:50:00.0;0,2
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;14:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;14:10:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;14:20:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;14:30:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;14:40:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;14:50:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;15:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;15:10:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;15:20:00.0;0,2
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;15:30:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;15:50:00.0;0,2
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;16:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;16:10:00.0;0,4
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;16:20:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;16:30:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;16:40:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;16:50:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;17:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;17:10:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;17:20:00.0;0,4
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;17:30:00.0;0,4
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;17:40:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;17:50:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;18:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;18:10:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;18:20:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;18:30:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;18:40:00.0;0,4
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;18:50:00.0;0,2
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;19:00:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;19:10:00.0;0,2
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;19:20:00.0;0,2
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;19:30:00.0;0
250400903A;CAMPINA GRANDE;PB;Jardim Paulistano;-7.252;-35.895;02/07/2015;19:40:00.0;1,2
